Ext.ID,Museum.Institution,Sampling.date,Catalogue.accession,Species,Collection.notes,Sex,Age,Year,Country,Region,Locality,Oral.health,Photo,Appearance,Sample.collected.from,Sampling.comments,Ext.Date,Sample.weight..g.,Qubit.concentration..ng.ul.,Qubit.date,Ext.comments,LP.date,Extract.vol.used,LP_BC_p5,LP_BC_p7,P5.Index,P7.Index,LP.copies,Ind.date,LP.vol.used,Ind.cycles,Ind.copies,Pool,Pooled.volume..ul.,Deep.Pool,Deep.Pool.vol,Instrument.model,archive,archive_project,archive_accession,project_name,publication_doi,download_links,download_md5s
G0001,RMCA,NA,27759-M-,Gorilla beringei,Gorilla beringei graueri,Male,Unknown,1959,Democratic Republic of the Congo,,Kato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65e+11,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656246,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7919504/ERR7919504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7919504/ERR7919504_2.fastq.gz,d191b50e80e3c5a30b004868e5b43eb2;8737ef7fa4372148446d4713d5569f4b
G0005,RMCA,NA,31546-M-,Gorilla gorilla,Gorilla gorilla gorilla,,Unknown,1963,Gabon,,N'Dongo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66724615802,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656248,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7919462/ERR7919462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7919462/ERR7919462_2.fastq.gz,8059aff9c3c1eaea6e3650aa8f54a210;a0cb40ef06ffde4a29f46bf8be616e08
G0008,RMCA,NA,9406-M-,Gorilla gorilla,Gorilla gorilla gorilla,Unknown,Unknown,1928,Gabon,,Ogowe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24087151191,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656250,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7919474/ERR7919474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7919474/ERR7919474_2.fastq.gz,e4de73307790fe860fd910ccabf38dcc;5f94d85e2b4895abff03849cf62003ba
G0010,RMCA,NA,807-M-,Gorilla beringei,Gorilla beringei graueri,Unknown,Unknown,1910,Democratic Republic of the Congo,,Baraka Sibatwa forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12333115730,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656252,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7919505/ERR7919505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7919505/ERR7919505_2.fastq.gz,4eb71b858b821c723f3bbd16f5321f5a;72e95a4dd0f9f62a6665fd3f6d13a7c5
G0011,RMCA,NA,15352-M-,Gorilla beringei,Gorilla beringei graueri,Female,Unknown,1939,Democratic Republic of the Congo,,Ibatsero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31405519953,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656253,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919478/ERR7919478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919478/ERR7919478_2.fastq.gz,6627e46fff6243605986fc2f9ec66700;ee98c0dd0635ffa5caa66483e58c5cf1
G0017,RMCA,NA,14769-M-,Gorilla beringei,Gorilla beringei graueri,Female,Unknown,1938,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB42014,ERS6955111,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7919506/ERR7919506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7919506/ERR7919506_2.fastq.gz,b76bb829db9aff6a36de43c19f21fba9;f37ecea242f3b0f29dcce752e77adc58
G0018,RMCA,NA,14615-M-,Gorilla beringei,Gorilla beringei graueri,Unknown,Unknown,1938,Democratic Republic of the Congo,,Lubero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28222444115,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656260,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919468/ERR7919468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919468/ERR7919468_2.fastq.gz,f9274efdfa90aa932a5e1675261d6788;0dc82690c1181feb9a5e85f2f7093d26
G0019,RMCA,NA,804-M-,Gorilla beringei,Gorilla beringei graueri,Male,Unknown,1910,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21909001652,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB42014,ERS6955135,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919488/ERR7919488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7919488/ERR7919488_2.fastq.gz,76ae51b28091c1bed05f47d40b1af3a8;14431931da557b22cf066df9c167ff5d
G0021,RMCA,NA,2260-M-,Gorilla beringei,Gorilla beringei beringei,,Unknown,1913,Democratic Republic of the Congo,,Virunga Massif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08e+11,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656263,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7919479/ERR7919479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7919479/ERR7919479_2.fastq.gz,ba351dd4a04326cc2a7290d7d01bd76e;b92673b946e7a5953fc2aca0e466b252
G0026,RMCA,NA,73.016-M-0151,Gorilla gorilla,Gorilla gorilla gorilla,Unknown,Unknown,1973,Cameroon,,Onkimoyos 8 km,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48356757556,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656264,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7919460/ERR7919460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7919460/ERR7919460_2.fastq.gz,fc2bf5a49d0c0444714308364326a179;71e59e4886aec6bba66a85b402ccdd4c
G0030,RMCA,NA,8608-M-,Gorilla beringei,Gorilla beringei beringei,Female,Juvenile,1926,Democratic Republic of the Congo,,Virunga Massif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86491845,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656267,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7919546/ERR7919546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7919546/ERR7919546_2.fastq.gz,7469f0c102dd3fb516347162fa003003;7850357a2f8725851b384632456a4cb4
G0033,RMCA,NA,9424-M-,Gorilla beringei,Gorilla beringei graueri,Unknown,Unknown,1928,Democratic Republic of the Congo,,Shabunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06e+11,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656269,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7919641/ERR7919641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7919641/ERR7919641_2.fastq.gz,ff4501119dd49b2a6245b55ff6f78438;5de7064f087e45e0ce191df336202ef4
G0034,RMCA,NA,23136-M-,Gorilla gorilla,Gorilla gorilla gorilla,Unknown,Unknown,1955,Democratic Republic of the Congo,,Tshela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25e+11,NA,NA,NA,NA,NA,NA,NA,NA,Illumina NovaSeq 6000,ENA,PRJEB49638,ERS9656270,Moraitou2022,10.1093/molbev/msac263,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7919547/ERR7919547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7919547/ERR7919547_2.fastq.gz,9119f6b192b474e23adcb58b696428df;e33e64533ba953448eec8bb2cb80d352
GDC002.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1398,Gorilla gorilla,Gorilla gorilla gorilla,Female,Adult,,Democratic Republic of the Congo,,Not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23290000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774403,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3579749/ERR3579749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3579749/ERR3579749_2.fastq.gz,5a8f698ce0aeec76705cacad790f0e0b;33aec0d497d70a56a3e0a98f2f6ea40d
GDC004.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1405,Gorilla gorilla,Gorilla gorilla gorilla,Male,Adult,,Democratic Republic of the Congo,,Not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29780000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774404,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3579750/ERR3579750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3579750/ERR3579750_2.fastq.gz,d523ea3f429d8dbd2e16af6c44a8a816;f15f6d6aadcdb5091ffe2dd11ac95677
GDC005.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1431,Gorilla gorilla,Gorilla gorilla gorilla,Male,Adult (Old),,Democratic Republic of the Congo,,Not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7032000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774405,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3579751/ERR3579751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3579751/ERR3579751_2.fastq.gz,afed9beeaa5f75b65ac2d34132e08198;edd01d8b8af0728311a02c08fd26e551
HM_001,NHM London,20230711,8.7.17.24,Muntiacus muntjak,Borneo British North Borneo,,,<1908,Malaysia,,,,,,loeer left molar,,20230724,0.01,3.34,20230725,,20230726,20,9,12,3,3,52400000,20230905,12,11,1.66e+10,Pool B,3,Pool W,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_002,NHM London,20230711,3.4.16.1,Giraffa camelopardalis,near lake boringo,female,,1903,,,,,,,right outer lower molar 3 & 4,,20230724,0.017,12.1,20230725,,20230726,20,9,14,3,3,55800000,20230905,12,11,2.61e+09,Pool C,4,Pool Y,1.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_003,NHM London,20230711,4.12.4.13,Cuniculus paca,Agouti Marcapata Peru Warsaw Mus,female,,1904,Peru,,,,,,lower molars (both sides),,20230724,0.004,0.412,20230725,.000? Calibration error? Flashed between .004 and .000. Very small amount of material but definitely not .000,20230726,20,9,15,3,3,18500000,20230905,12,11,4.61e+09,Pool C,4,Pool X,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_004,NHM London,20230711,1939.1.21.127,Otaria byronia,Discovery investigstions J. E. Hamilton Coll Falkland Is,male,,1939,Falkland Islands,,,,,,all teeth (probably not enough. Little calculus. Stained teeth),,20230724,0.004,0.871,20230725,.000? Calibration error? Flashed between .004 and .000. Very small amount of material but definitely not .000,20230726,20,12,1,3,3,14100000,20230905,12,11,9.58e+08,Pool D,5,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_006,NHM London,20230711,1939.1.21.147,Otaria byronia,Discovery investigstions J. E. Hamilton Coll Falkland Is,,,1939,,,,,,,all upper jaw,,20230724,0.004,1.15,20230725,.000? Calibration error? Flashed between .004 and .000. Very small amount of material but definitely not .000. Sample tube was also DC.NHM.005. Mix-up sampling with Phaedra. Was corrected based on handwriting,20230726,20,12,7,3,3,1.98e+08,20230905,12,11,3.4e+10,Pool B,2,Pool V,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_008,NHM London,20230711,86.200,Tapirus indicus,Skin destroyed in 1873 Source: ZSL,,,<1873,Indonesia,Sumatra,,,,,,,20230724,0.014,0.58,20230725,,20230726,20,12,9,3,3,86300,20230920_remainder,12,14,2.31e+09,Pool C,4,Pool Y,1.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_009,NHM London,20230711,8.8.8.48,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,all upper molars; several lower molars,,20230724,0.012,2.57,20230725,coloured,20230727,5,12,14,3,3,1.54e+08,20230905,12,11,12500000,Pool D,5,Pool Z,5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_010,NHM London,20230711,8.8.8.51,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,all molars,,20230724,0.014,1.07,20230725,coloured,20230727,10,12,15,3,3,8240000,20230905,12,11,2.61e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_011,NHM London,20230711,8.8.8.49,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,all molars,,20230724,0.013,6.26,20230725,coloured,20230727,4,14,1,3,3,1.49e+08,20230905,12,11,3.24e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_012,NHM London,20230711,13.10.24.61,Cuniculus paca, ,,,1913,Ecuador,Mindo,,,,,,,20230724,0.004,0.398,20230725,,20230726,20,14,2,3,3,7350000,20230905,12,11,7.85e+09,Pool C,4,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_014,NHM London,20230711,34.9.10.189,Cuniculus paca, ,,,1934,Ecuador,Mindo,,,,,,,20230724,0.005,1.2,20230725,,20230726,20,14,8,3,3,170000,20230905,12,11,4.04e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_017,NHM London,20230731,49.672A,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"lower jaw, inner right molar, rear",,20230830,0.005,0.064,20230831,,20230914,20,1,8,9,9,346000,20230920_remainder,12,14,31900000,Pool D,5,Pool Z,5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_018,NHM London,20230731,49.690A,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230830,0.009,0.2,20230831,coloured,20230914,20,1,9,9,9,1030000,20230920_remainder,12,11,3.37e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_020,NHM London,20230731,49.680A,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230830,0.004,0.4,20230831,,20230906,20,15,2,7,7,83400000,20230920_7-7,12,11,4.05e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_021,NHM London,20230731,49.691A,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0,0.15,20230912,,20230912,20,7,8,8,8,2080000,20230920_8-8,12,11,6.19e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_022,NHM London,20230731,49.528,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"upper jaw, right rearmost molar, outer",,20230911,0.004,0.1,20230912,,20230912,20,7,9,8,8,4480000,20230920_8-8,12,11,4.88e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_023,NHM London,20230731,49.530,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,"lower jaw, inner right molar, rear",,20230911,0.006,0.069,20230912,,20230912,20,7,12,8,8,2610000,20230920_8-8,12,11,3.4e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_024,NHM London,20230731,49.683,Loxodonta africana,Perry collection,,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0,0.055,20230912,,20230912,20,7,14,8,8,834000,20230920_8-8,12,14,6.38e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_026,NHM London,20230731,49.687A,Loxodonta africana,Perry collection,,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0.016,0.281,20230912,,20230912,20,7,15,8,8,8810000,20230920_8-8,12,11,7.42e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_027,NHM London,20230731,49.686A,Loxodonta africana,Perry collection,,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0.008,0.062,20230912,,20230912,20,8,1,8,8,1100000,20230920_8-8,12,14,29300000,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_028,NHM London,20230731,49.537,Loxodonta africana,Perry collection,male,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0.007,1.5,20230912,,20230912,20,8,2,8,8,81300000,20230920_8-8,12,11,3.43e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_029,NHM London,20230731,49.547,Loxodonta africana,Perry collection,male,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0.005,0.172,20230912,,20230912,20,8,7,8,8,4070000,20230920_8-8,12,11,69600000,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_030,NHM London,20230731,49.662,Loxodonta africana,Perry collection,male,,<1949,Uganda,,,,,,"lower jaw, inner left molar, rear",,20230911,0.011,0.243,20230912,,20230912,20,8,9,8,8,1.78e+08,20230920_8-8,12,11,2.1e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_031,NHM London,20230801,1915.2.3.1,Hippopotamus amphibius,,,,<1915,Nigeria,Zanla province,,,,,"2nd and 3rd molar from back, left side, outer surface",,20230830,0.004,1.07,20230831,,20230906,20,15,7,7,7,1.42e+08,20230920_7-7,12,11,5.33e+10,Pool A,3,Pool T,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_032,NHM London,20230801,1961.8.9.84,Hippopotamus amphibius,"Pres national museum, bulawayo",female,,<1961,Northern Rhodesia,,,,,,"lower rear molar, outer surface, left side",,20230830,0.01,1.12,20230831,,20230906,20,15,8,7,7,6680000,20230920_7-7,12,11,8.31e+09,Pool C,4,Pool X,1.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_033,NHM London,20230801,1916.8.8.1,Hippopotamus amphibius,,,,<1916,Portuguese east africa,,,,,,"right side, upper jaw, outer, 1st and 2nd molar from the back",,20230830,0.005,0.505,20230831,,20230906,20,15,9,7,7,46200000,20230920_7-7,12,11,1.49e+10,Pool B,3,Pool W,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_036,NHM London,20230801,1925.9.5.1,Hippopotamus amphibius,Capt Dougls C fraser,male,,<1925,Nigeria,Ibie Benue River,,,,,"upper mid molar, right side, outer surface",,20230911,0,0.811,20230912,,20230912,20,8,12,8,8,1.08e+08,20230920_8-8,12,11,9.89e+09,Pool C,4,Pool X,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_037,NHM London,20230801,1947.7.2.1,Hippopotamus amphibius,Newton collection (check NHM library and archives),,,<1947,Ask Richard,,,,,,"upper mid molar, right and left side, outer surface",,20230911,0.013,23,20230912,,20230912,20,8,14,8,8,1.77e+08,20230920_8-8,12,11,3.05e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_038,NHM London,20230801,Environmental control,Environmental control,swab of hippo room,,,,,,,,,,,,20230830,NA,too low,20230831,,20230906,20,15,12,7,7,945000,20230920_7-7,12,11,5.63e+08,Pool D,5,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_039,NHM London,20230801,32.12.27.2,Hippopotamus amphibius,,,,1932,Nigeria,,,,,,"upper right rearmost molar, outer surface",I think this is just dirt,20230830,0.016,1.12,20230831,,20230906,20,15,14,7,7,2.13e+08,20230920_7-7,12,11,6.31e+10,Pool A,3,Pool T,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_040,NHM London,20230801,1962.2.14.13,Hippopotamus amphibius,,,,1961,S. Rhodesia,,,,,,single canine,,20230830,0,0.842,20230831,,20230906,20,1,2,8,8,46900000,20230920_8-8,12,11,2.32e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_043,NHM London,20230801,31.6.1.11,Ovis ammon,C. SR. Geo Littledale Harold Littledate,,,1931,Mongolia,,Altai,,,,"upper right frontmost molars, outer surface",,20230830,0.011,0.639,20230831,,20230906,20,1,7,8,8,43500000,20230920_8-8,12,11,1.68e+09,Pool C,4,Pool Y,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_048,NHM London,20230802,26.3.11.65,Macropus giganteus,G.H. Wilkins,male,,1926,Australia,New South Wales,Dooroolong,,,,"front molar, left and right, lower jaw",,20230911,0.009,5.91,20230912,,20230912,20,9,8,8,8,83800000,20230920_8-8,12,11,1.25e+09,Pool C,4,Pool Y,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_049,NHM London,20230802,8.8.8.47,Macropus giganteus,Ingraham Stalker Forest. Skin labeled M agilis Skull labeled M giganteus,male,,1908,Australia,New South Wales,,,,,"front two molars, lower, third molar, lower, lingual surface only",,20230911,0.007,0.708,20230912,,20230912,20,9,12,8,8,641000,20230920_8-8,12,14,3.17e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_050,NHM London,20230802,26.3.11.64,Macropus giganteus,GH Wilkins CC,male,,1926,Australia,New South Wales,Dorrigo,,,,lower left front 2 molars,grey/white calculus/dirt,20230911,0,0.72,20230912,,20230912,20,9,14,8,8,1750000,20230920_8-8,12,11,66400000,Pool D,5,Pool Z,5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_053,NHM London,20230802,6.8.1.106,Macropus giganteus,,female,,1906,Australia,King river SW Aus,,,,,"front two molars, lower, ",maybe not enough,20230911,0,0.067,20230912,WB added directly to sampling tube and transferred,20230912,20,12,2,8,8,788000,20230920_8-8,12,14,1.19e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_054,NHM London,20230802,46.4.4.11,Macropus giganteus,Gould,female,,1846,Australia,West australia,,,,,"upper left front molar, lower right front molars",maybe not enough; reddish deposit across jaw (dirt?),20230911,0,0.071,20230912,WB added directly to sampling tube and transferred,20230912,20,12,7,8,8,1e+06,20230920_8-8,12,14,7.89e+08,Pool D,5,Pool Z,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_055,NHM London,20230802,Environmental control,Environmental control,swab of kangaroo room,,,,,,,,,,,,20230912,0,too low,20230913,,20230914,20,14,9,8,8,1550000,20230920_8-8,12,11,3.7e+08,Pool D,5,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_057,NHM London,20230802,1.8.9.47,Giraffa camelopardalis,,,,1901,Kenya,Uasin Gishi plateau,,,,,front left molar; front surface,,20230912,0.015,0.275,20230913,,20230914,20,15,1,8,8,912000,20230920_8-8,12,14,1.63e+09,Pool C,4,Pool Y,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_058,NHM London,20230802,19.11.12.24,Muntiacus muntjak,FM States Mus (P.) H.C.Robinson Col Kloss,male,,1919,Indonesia,Sumatra,Korinchi,,,,"upper rear molars, right and keft",,20230912,0.014,1.87,20230913,,20230914,20,15,2,8,8,2640000,20230920_8-8,12,11,2.65e+09,Pool C,4,Pool Y,1.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_059,NHM London,20230802,9.4.1.505,Muntiacus muntjak,HC Robinson,male,,1909,Indonesia,Bintang Is,Rhio Arch (Riau),,,,"two rearmost molars, lower, right side",,20230912,0.014,2.85,20230913,,20230914,20,15,7,8,8,13800000,20230920_8-8,12,11,2.29e+09,Pool C,4,Pool Y,1.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_060,NHM London,20230802,13.10.24.62,Cuniculus paca,O thomas P,male,,1913,Ecuador,Uinda,,,,,front molar left and right,very fine powder difficult to sample,20230912,0,1.89,20230913,Transferred with wash buffer,20230914,20,12,8,8,8,14500000,20230920_8-8,12,11,1.34e+09,Pool C,4,Pool Y,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
HM_061,NHM London,20230802,13.10.24.59,Cuniculus paca,O thomas P,female,,1913,Ecuador,Uinda,,,,,front molar left and right,very fine powder difficult to sample,20230912,0,0.643,20230913,Transferred with wash buffer,20230914,20,12,9,8,8,48300000,20230920_8-8,12,11,1.46e+09,Pool C,4,Pool Y,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
